zip,name,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,city,stabbr,cty_name
10036,"NEW YORK, NY",G,143615,H,10193791,H,27565509,5655,NEW YORK,NY,NEW YORK
10037,"NEW YORK, NY",G,4235,H,61354,H,260999,234,NEW YORK,NY,NEW YORK
10038,"NEW YORK, NY",G,36070,G,1056235,G,3579992,1717,NEW YORK,NY,NEW YORK
10039,"NEW YORK, NY",G,1549,G,14874,G,63779,224,NEW YORK,NY,NEW YORK
10040,"NEW YORK, NY",G,3544,G,35891,G,154496,595,NEW YORK,NY,NEW YORK
10041,"NEW YORK, NY",G,5917,G,494508,G,1300380,54,NEW YORK,NY,NEW YORK
10043,"NEW YORK, NY",G,360,G,22844,G,61587,12,NEW YORK,NY,NEW YORK
10044,"NEW YORK, NY",G,1489,H,20774,H,86524,104,NEW YORK,NY,NEW YORK
10045,"NEW YORK, NY",H,2986,J,126344,J,538012,8,NEW YORK,NY,NEW YORK
10055,"NEW YORK, NY",G,2089,H,741411,H,1257152,23,NEW YORK,NY,NEW YORK
10065,"NEW YORK, NY",G,37516,G,975230,G,4054213,1559,NEW YORK,NY,NEW YORK
10069,"NEW YORK, NY",H,588,G,7783,G,37962,125,NEW YORK,NY,NEW YORK
10075,"NEW YORK, NY",G,6607,G,102730,G,490500,889,NEW YORK,NY,NEW YORK
10080,"NEW YORK, NY",G,644,G,36952,G,110487,13,NEW YORK,NY,NEW YORK
10101,"NEW YORK, NY",J,130,J,4035,J,18145,8,NEW YORK,NY,NEW YORK
10103,"NEW YORK, NY",H,3015,J,1770435,J,3223575,58,NEW YORK,NY,NEW YORK
10104,"NEW YORK, NY",H,5168,G,244577,G,822190,49,NEW YORK,NY,NEW YORK
10105,"NEW YORK, NY",H,6159,G,651871,G,2184562,95,NEW YORK,NY,NEW YORK
10106,"NEW YORK, NY",G,1012,H,58833,H,290442,138,NEW YORK,NY,NEW YORK
10107,"NEW YORK, NY",H,1223,H,36132,G,265834,200,NEW YORK,NY,NEW YORK
10108,"NEW YORK, NY",J,95,J,615,J,3736,3,NEW YORK,NY,NEW YORK
10110,"NEW YORK, NY",H,2426,H,70871,H,322335,101,NEW YORK,NY,NEW YORK
10111,"NEW YORK, NY",G,2465,H,169434,H,838599,148,NEW YORK,NY,NEW YORK
10112,"NEW YORK, NY",J,19986,H,887474,H,2984122,131,NEW YORK,NY,NEW YORK
10113,"NEW YORK, NY",J,32,G,258,H,1038,6,NEW YORK,NY,NEW YORK
10115,"NEW YORK, NY",G,2344,H,39212,H,153988,67,NEW YORK,NY,NEW YORK
10116,"NEW YORK, NY",J,36,J,271,J,805,5,NEW YORK,NY,NEW YORK
10118,"NEW YORK, NY",G,6786,H,321538,G,1191298,294,NEW YORK,NY,NEW YORK
10119,"NEW YORK, NY",G,7864,G,291170,G,1184153,244,NEW YORK,NY,NEW YORK
10120,"NEW YORK, NY",G,1610,G,30352,G,127208,70,NEW YORK,NY,NEW YORK
10121,"NEW YORK, NY",G,3908,G,171681,H,758550,48,NEW YORK,NY,NEW YORK
10122,"NEW YORK, NY",G,1684,G,41714,G,161843,159,NEW YORK,NY,NEW YORK
10123,"NEW YORK, NY",G,2337,G,70908,G,300068,176,NEW YORK,NY,NEW YORK
10125,"NEW YORK, NY",J,38,J,243,H,1397,6,NEW YORK,NY,NEW YORK
10128,"NEW YORK, NY",G,13904,G,192816,G,865552,1556,NEW YORK,NY,NEW YORK
10150,"NEW YORK, NY",J,34,J,321,J,1823,9,NEW YORK,NY,NEW YORK
10151,"NEW YORK, NY",G,708,G,38723,G,216620,67,NEW YORK,NY,NEW YORK
10152,"NEW YORK, NY",H,892,H,122203,H,298650,50,NEW YORK,NY,NEW YORK
10153,"NEW YORK, NY",G,5636,G,754956,H,2232981,103,NEW YORK,NY,NEW YORK
10154,"NEW YORK, NY",J,7741,H,349330,J,1710999,63,NEW YORK,NY,NEW YORK
